Cve,Año,Periodo,Deuda pública,Producto Interior Bruto (PIB),Trimestre
1,1994,Diciembre,"249.507,62",0,"283.457,29"
2,1995,Diciembre,"283.457,29",460.588,"319.975,81"
3,1996,Diciembre,"319.975,81",489.203,"333.627,25"
4,1997,Diciembre,"333.627,25",519.268,"346.416,96"
5,1998,Diciembre,"346.416,96",555.993,"362.223,47"
6,1999,Diciembre,"362.223,47",595.723,"374.557,24"
7,2000,Diciembre,"374.557,24",647.851,"378.883,42"
8,2001,Diciembre,"378.883,42",700.993,"384.145,34"
9,2002,Diciembre,"384.145,34",749.552,"382.775,03"
10,2003,Diciembre,"382.775,03",802.266,"389.887,93"
11,2004,Diciembre,"389.887,93",859.437,"393.479,09"
12,2005,Diciembre,"393.479,09",927.357,"392.132,17"
13,2006,Diciembre,"392.132,17",1.003.823,"384.661,96"
14,2007,Diciembre,"384.661,96",1.075.539,"440.620,97"
15,2008,Diciembre,"440.620,97",1.109.541,"569.535,36"
16,2009,Diciembre,"569.535,36",1.069.323,"649.152,53"
17,2010,Diciembre,"649.152,53",1.072.709,"743.043,16"
18,2011,Diciembre,"743.043,16",1.063.763,"889.909,39"
19,2012,Diciembre,"889.909,39",1.031.104,"977.311,94"
20,2013,Diciembre,"977.311,94",1.020.677,"1.039.388,25"
21,2014,Diciembre,"1.039.388,25",1.032.608,"1.070.078,97"
22,2015,Diciembre,"1.070.078,97",1.078.092,"1.104.553,96"
23,2016,Diciembre,"1.104.553,96",1.114.420,"1.145.097,34"
24,2017,Diciembre,"1.145.097,34",1.162.492,"1.173.350,13"
25,2018,Diciembre,"1.173.350,13",1.203.859,"1.188.859,49"
26,2019,Diciembre,"1.188.859,49",1.245.513,"1.345.569,81"
27,2020,Diciembre,"1.345.569,81",1.117.989,"1.427.235,37"
28,2021,Diciembre,"1.427.235,37",1.206.842,
2,1995,Trimestre 4,"283.457,29",460.588,
3,1996,Trimestre 4,"319.975,81",489.203,
4,1997,Trimestre 4,"333.627,25",519.268,
5,1998,Trimestre 4,"346.416,96",555.993,
6,1999,Trimestre 4,"362.223,47",595.723,
7,2000,Trimestre 4,"374.557,24",647.851,
8,2001,Trimestre 4,"378.883,42",700.993,
9,2002,Trimestre 4,"384.145,34",749.552,
10,2003,Trimestre 4,"382.775,03",802.266,
11,2004,Trimestre 4,"389.887,93",859.437,
12,2005,Trimestre 4,"393.479,09",927.357,
13,2006,Trimestre 4,"392.132,17",1.003.823,
14,2007,Trimestre 4,"384.661,96",1.075.539,
15,2008,Trimestre 4,"440.620,97",1.109.541,
16,2009,Trimestre 4,"569.535,36",1.069.323,
17,2010,Trimestre 4,"649.152,53",1.072.709,
18,2011,Trimestre 4,"743.043,16",1.063.763,
19,2012,Trimestre 4,"889.909,39",1.031.104,
20,2013,Trimestre 4,"977.311,94",1.020.677,
21,2014,Trimestre 4,"1.039.388,25",1.032.608,
22,2015,Trimestre 4,"1.070.078,97",1.078.092,
23,2016,Trimestre 4,"1.104.553,96",1.114.420,
24,2017,Trimestre 4,"1.145.097,34",1.162.492,
25,2018,Trimestre 4,"1.173.350,13",1.203.859,
26,2019,Trimestre 4,"1.188.859,49",1.245.513,
27,2020,Trimestre 4,"1.345.569,81",1.117.989,
28,2021,Trimestre 4,"1.427.235,37",1.206.842,
